int	string	string	string	string
id	名称	简介	任务完成简介	内容
id	name	info	cinfo	content
1100	建造电影院	作为一家影业公司，怎么能没有自己的电影院呢！	电影院建好啦，现在让我们开始电影拍摄的准备工作吧！	主线任务
1101	建造摄影棚	搭建摄影棚，拍摄属于我们自己的第一部电影吧！	摄影棚搭建好了，我们现在可以开始拍摄电影啦！	主线任务
1102	拍摄第1部电影	让我们努力制作出一部一鸣惊人的电影吧！	在无数的汗水，辛劳，以及摄影师碗里的鸡腿的见证下，第一部电影成功拍摄完成！	主线任务
1103	领取1次电影持续收益	电影上映之后除了票房收益，还有上映期间产生的持续收益喔！现在就让我们来看看吧！	电影的持续收益来自不同地区加映票房、电影周边贩卖以及相关活动授权费等多个方面。这也是一笔可观的收入，别忘了领取哦！	主线任务
1104	建造艺人教室	虽然上一次靠救场解决了问题，但那也是仅限一次的特殊情况。现在的当务之急，就是寻找有才能的艺人进行签约啦！	现在我们已经有了自己的艺人部门，就可以对艺人资源进行管理啦！	主线任务
1105	招募1个新艺人	我们旗下签约的艺人越多，能覆盖的剧本与角色类型也会更多，对公司的持续发展是十分有益的哦！	这样就解决了目前艺人不够的问题，而且，随着公司不断发展壮大，相信一定会有越来越多的艺人加入我们的！	主线任务
1106	将1位艺人升到10级	成功签约艺人之后可不能就放着他们不管了，想要让艺人们发挥出更精彩的表演，可不能忽视对他们的培养哦！	影帝可不是一天炼成的，艺人能力越强，发挥越好，对电影品质提升也就越大！所以一定要注重艺人的成长哦！	主线任务
1107	建造市场部	想拍出叫好又叫座的电影，闭门造车可不行。我们需要加深对市场的研究。	我们对市场的了解越深，就越有可能拍出符合市场喜好的电影，从而让我们的公司吸引更多观众的目光！	主线任务
1108	在星光大道完成宣传	酒香也怕巷子深，想要获取更高的关注度，我们必须主动出击！	从一个小街区开始，我们的影响力最终将会扩展至全球！	主线任务
1109	将市场部升至2级	市场部的等级越高，我们对市场调研的结果也会更加精确，对于制定公司的发展策略无疑会更有帮助哦！	将市场部的等级提升可以提高我们对市场方向的把控，从而让公司始终走在正确的方向上哦！	主线任务
