int	string
id	功能名称
id	name
1	主界面
3	拍摄
4	艺人
5	市场
6	仓库
21	商城
22	充值
23	日常
24	福利
25	活动
26	超级偶像
31	设置
32	邮箱
33	聊天
41	奥斯卡
42	等级礼包
43	奖杯礼包
51	生产
52	订单
53	公务
54	粉丝
55	会议
61	剧本
62	院线
63	编剧
64	艺人名录
65	宝物
71	集团
72	领袖
73	合作
81	合作任务
82	合作订单
83	送绿钞
84	送金币
101	登录
102	创建角色
103	角色信息
104	排行榜
105	主线任务
106	街区
107	公告
108	主线完成奖励
201	建筑升级
202	建筑建造列表
203	财务室
301	持续收益
401	艺人详情
402	艺人介绍
403	艺人雪藏
404	艺人招募
405	艺人招募成功
406	艺人培训
407	艺人培训结果
408	新艺人
409	艺人截图分享
410	艺人训练
411	艺人课程
6101	剧本信息
10001	经营
10002	管理
10003	社交
10004	合作
20001	登录弹窗
