int	string	string
id	盈利名称	名称
id	gain_name	name
10011	一般	街区1档
10012	良好	街区1档
10013	大卖	街区1档
10014	超级大卖	街区1档
10015	传奇	街区1档
10016	神话	街区1档
10021	一般	街区2档
10022	良好	街区2档
10023	大卖	街区2档
10024	超级大卖	街区2档
10025	传奇	街区2档
10026	神话	街区2档
10031	一般	街区3档
10032	良好	街区3档
10033	大卖	街区3档
10034	超级大卖	街区3档
10035	传奇	街区3档
10036	神话	街区3档
10041	一般	街区4档
10042	良好	街区4档
10043	大卖	街区4档
10044	超级大卖	街区4档
10045	传奇	街区4档
10046	神话	街区4档
10051	一般	街区5档
10052	良好	街区5档
10053	大卖	街区5档
10054	超级大卖	街区5档
10055	传奇	街区5档
10056	神话	街区5档
10061	一般	街区6档
10062	良好	街区6档
10063	大卖	街区6档
10064	超级大卖	街区6档
10065	传奇	街区6档
10066	神话	街区6档
10071	一般	街区7档
10072	良好	街区7档
10073	大卖	街区7档
10074	超级大卖	街区7档
10075	传奇	街区7档
10076	神话	街区7档
10081	一般	街区8档
10082	良好	街区8档
10083	大卖	街区8档
10084	超级大卖	街区8档
10085	传奇	街区8档
10086	神话	街区8档
10091	一般	街区9档
10092	良好	街区9档
10093	大卖	街区9档
10094	超级大卖	街区9档
10095	传奇	街区9档
10096	神话	街区9档
10101	一般	街区10档
10102	良好	街区10档
10103	大卖	街区10档
10104	超级大卖	街区10档
10105	传奇	街区10档
10106	神话	街区10档
20011	一般	城镇1档
20012	良好	城镇1档
20013	大卖	城镇1档
20014	超级大卖	城镇1档
20015	传奇	城镇1档
20016	神话	城镇1档
20021	一般	城镇2档
20022	良好	城镇2档
20023	大卖	城镇2档
20024	超级大卖	城镇2档
20025	传奇	城镇2档
20026	神话	城镇2档
20031	一般	城镇3档
20032	良好	城镇3档
20033	大卖	城镇3档
20034	超级大卖	城镇3档
20035	传奇	城镇3档
20036	神话	城镇3档
20041	一般	城镇4档
20042	良好	城镇4档
20043	大卖	城镇4档
20044	超级大卖	城镇4档
20045	传奇	城镇4档
20046	神话	城镇4档
20051	一般	城镇5档
20052	良好	城镇5档
20053	大卖	城镇5档
20054	超级大卖	城镇5档
20055	传奇	城镇5档
20056	神话	城镇5档
20061	一般	城镇6档
20062	良好	城镇6档
20063	大卖	城镇6档
20064	超级大卖	城镇6档
20065	传奇	城镇6档
20066	神话	城镇6档
20071	一般	城镇7档
20072	良好	城镇7档
20073	大卖	城镇7档
20074	超级大卖	城镇7档
20075	传奇	城镇7档
20076	神话	城镇7档
20081	一般	城镇8档
20082	良好	城镇8档
20083	大卖	城镇8档
20084	超级大卖	城镇8档
20085	传奇	城镇8档
20086	神话	城镇8档
20091	一般	城镇9档
20092	良好	城镇9档
20093	大卖	城镇9档
20094	超级大卖	城镇9档
20095	传奇	城镇9档
20096	神话	城镇9档
20101	一般	城镇10档
20102	良好	城镇10档
20103	大卖	城镇10档
20104	超级大卖	城镇10档
20105	传奇	城镇10档
20106	神话	城镇10档
30011	一般	州省1档
30012	良好	州省1档
30013	大卖	州省1档
30014	超级大卖	州省1档
30015	传奇	州省1档
30016	神话	州省1档
30021	一般	州省2档
30022	良好	州省2档
30023	大卖	州省2档
30024	超级大卖	州省2档
30025	传奇	州省2档
30026	神话	州省2档
30031	一般	州省3档
30032	良好	州省3档
30033	大卖	州省3档
30034	超级大卖	州省3档
30035	传奇	州省3档
30036	神话	州省3档
30041	一般	州省4档
30042	良好	州省4档
30043	大卖	州省4档
30044	超级大卖	州省4档
30045	传奇	州省4档
30046	神话	州省4档
30051	一般	州省5档
30052	良好	州省5档
30053	大卖	州省5档
30054	超级大卖	州省5档
30055	传奇	州省5档
30056	神话	州省5档
30061	一般	州省6档
30062	良好	州省6档
30063	大卖	州省6档
30064	超级大卖	州省6档
30065	传奇	州省6档
30066	神话	州省6档
30071	一般	州省7档
30072	良好	州省7档
30073	大卖	州省7档
30074	超级大卖	州省7档
30075	传奇	州省7档
30076	神话	州省7档
30081	一般	州省8档
30082	良好	州省8档
30083	大卖	州省8档
30084	超级大卖	州省8档
30085	传奇	州省8档
30086	神话	州省8档
30091	一般	州省9档
30092	良好	州省9档
30093	大卖	州省9档
30094	超级大卖	州省9档
30095	传奇	州省9档
30096	神话	州省9档
30101	一般	州省10档
30102	良好	州省10档
30103	大卖	州省10档
30104	超级大卖	州省10档
30105	传奇	州省10档
30106	神话	州省10档
40011	一般	国家1档
40012	良好	国家1档
40013	大卖	国家1档
40014	超级大卖	国家1档
40015	传奇	国家1档
40016	神话	国家1档
40021	一般	国家2档
40022	良好	国家2档
40023	大卖	国家2档
40024	超级大卖	国家2档
40025	传奇	国家2档
40026	神话	国家2档
40031	一般	国家3档
40032	良好	国家3档
40033	大卖	国家3档
40034	超级大卖	国家3档
40035	传奇	国家3档
40036	神话	国家3档
40041	一般	国家4档
40042	良好	国家4档
40043	大卖	国家4档
40044	超级大卖	国家4档
40045	传奇	国家4档
40046	神话	国家4档
40051	一般	国家5档
40052	良好	国家5档
40053	大卖	国家5档
40054	超级大卖	国家5档
40055	传奇	国家5档
40056	神话	国家5档
40061	一般	国家6档
40062	良好	国家6档
40063	大卖	国家6档
40064	超级大卖	国家6档
40065	传奇	国家6档
40066	神话	国家6档
40071	一般	国家7档
40072	良好	国家7档
40073	大卖	国家7档
40074	超级大卖	国家7档
40075	传奇	国家7档
40076	神话	国家7档
40081	一般	国家8档
40082	良好	国家8档
40083	大卖	国家8档
40084	超级大卖	国家8档
40085	传奇	国家8档
40086	神话	国家8档
40091	一般	国家9档
40092	良好	国家9档
40093	大卖	国家9档
40094	超级大卖	国家9档
40095	传奇	国家9档
40096	神话	国家9档
40101	一般	国家10档
40102	良好	国家10档
40103	大卖	国家10档
40104	超级大卖	国家10档
40105	传奇	国家10档
40106	神话	国家10档
50011	一般	世界1档
50012	良好	世界1档
50013	大卖	世界1档
50014	超级大卖	世界1档
50015	传奇	世界1档
50016	神话	世界1档
50021	一般	世界2档
50022	良好	世界2档
50023	大卖	世界2档
50024	超级大卖	世界2档
50025	传奇	世界2档
50026	神话	世界2档
50031	一般	世界3档
50032	良好	世界3档
50033	大卖	世界3档
50034	超级大卖	世界3档
50035	传奇	世界3档
50036	神话	世界3档
50041	一般	世界4档
50042	良好	世界4档
50043	大卖	世界4档
50044	超级大卖	世界4档
50045	传奇	世界4档
50046	神话	世界4档
50051	一般	世界5档
50052	良好	世界5档
50053	大卖	世界5档
50054	超级大卖	世界5档
50055	传奇	世界5档
50056	神话	世界5档
50061	一般	世界6档
50062	良好	世界6档
50063	大卖	世界6档
50064	超级大卖	世界6档
50065	传奇	世界6档
50066	神话	世界6档
50071	一般	世界7档
50072	良好	世界7档
50073	大卖	世界7档
50074	超级大卖	世界7档
50075	传奇	世界7档
50076	神话	世界7档
50081	一般	世界8档
50082	良好	世界8档
50083	大卖	世界8档
50084	超级大卖	世界8档
50085	传奇	世界8档
50086	神话	世界8档
50091	一般	世界9档
50092	良好	世界9档
50093	大卖	世界9档
50094	超级大卖	世界9档
50095	传奇	世界9档
50096	神话	世界9档
50101	一般	世界10档
50102	良好	世界10档
50103	大卖	世界10档
50104	超级大卖	世界10档
50105	传奇	世界10档
50106	神话	世界10档
