int	string	string	string
ID|n|技能主ID*100+技能等级	英文名字	技能描述	英文效果文字
id	name	tips	effecttext
100101	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100102	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100103	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100104	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100105	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100106	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100107	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100108	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100109	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100110	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100111	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100112	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100113	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100114	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100115	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100116	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100117	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100118	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100119	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100120	吸金达人	当派遣演员去城市时,赚取城市收益速度[color=#FF8C00]+{0}%[/color]	赚取城市收益速度+{0}%
100201	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	生产线的收益+{0}%
100202	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	生产线的收益+{0}%
100203	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	生产线的收益+{0}%
