int	string
ID	备注
id	tips
1001	在城市中担任形象大使时生效
1002	派遣到生产线中生效
1003	该艺人拍摄电影是生效
1004	演员升级时生效
1005	女性
1006	男性
1007	美国
1008	欧洲
1009	亚洲
1010	演技派
1011	偶像派
1012	青春型
1013	成熟型
1014	军人
1015	青春
1016	机灵
1017	高颜值
1018	花花公子
1019	艺术家
1020	强壮
1021	学生
1022	贵族
1023	领导者
1024	罪犯
1025	神职人员
1026	超能力
1027	警察
1028	大亨
1029	侠客
1030	搞笑
1031	海盗
1032	佣兵
1033	残酷
1034	沧桑
1035	高智商
1036	反派
1037	车手
1038	枪手
1039	打斗
1040	口才好
1041	忠诚
1042	无常识
1043	疯狂
1044	忧郁
1045	性感
1046	教师
1047	硬汉
1048	痴情
1049	赌徒
1050	间谍
1051	失忆
1052	医生
1053	拜金
1054	长者
1055	天真
1056	阴谋家
1057	童星
1058	颓废
1059	学者
1060	记者
1061	功夫
1062	政客
1063	战争片
1064	科幻片
1065	现代片
1066	励志片
1067	犯罪片
1068	奇幻片
1069	谍战片
1070	冒险片
1071	古装片
1072	灾难片
1073	歌舞
1074	爱情
1075	喜剧
1076	叙事
1077	动作
1078	恐怖
1079	动画
1080	悬疑
