int	string	string	string
id|n|剧情组*100+顺序	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称|n|{repeatactor}=重复探查艺人
id	ui_content	content	name
100101		你过来啦，公司的开业准备已经做好了，就等你一句话了哦！	特蕾西
100102	你演艺生涯中合作过多次的制片人，她已经受够了传统电影业的折磨，因为你提出想要改变整个电影制片业的规则而决心加入你的公司来帮助你		特蕾西
100103		事不宜迟，那让我们现在就开始吧！	{name}
100201		公司终于正式开业啦，我们需要一笔启动资金来支持公司的运作哦。	特蕾西
100202		当然，我可不是毫无准备。资金已经到位啦。	{name}
100203		而且，我已经说服一个关系不错的演员朋友签约我们公司了，要不要猜猜看会是谁？	{name}
100401		没想到一开始就有这么棒的帮手，真让人信心百倍啊！那么接下来，让我们继续影院的基础设施建造吧！	特蕾西
100501		影业协会过来考察之后，给了我们一笔专门面对新兴公司的补助金哦！	特蕾西
100502		正好，这笔资金可以用来筹拍我们的第一部电影了。	{name}
100601		几个剧本都挺有意思的，嗯……还真有点难以抉择啊。	{name}
100602		不同的剧本有不同的受众类型，根据市场调查选择符合当前受众类型的剧本，获得成功的几率也会更大喔！	特蕾西
100603		嗯，我明白。不过，我们现在还没有市场部呢，看来只能发挥一下我的敏锐直觉啦。	{name}
100701		诶？这部剧本设定有两个角色，可我们现在只有一位艺人。看来我们只能先招个临时演员顶替一下了？	特蕾西
100702		不行，第一部电影对我们来说是很重要的，临时演员对电影品质可没有任何帮助。别担心，我可不是白在影视圈待了这些年哦。	{name}
100703		你这家伙每次找我基本都是有麻烦事，你还真是看准了我不会拒绝啊。	斯通
100801		（小声）诶，我还以为你是直接把斯通给挖过来了呢……	特蕾西
100802		（苦笑）我倒是想呀。不过他现在的合约还没到期呢。等他合约期满，我肯定就把他签过来啦！	{name}
100803	跟你关系很不错的当红演员，答应在你的第一部电影中作为主角出演。但由于目前还有合约在身，不能再参与你公司的其他电影。先完成所有的引导任务，到那时就可以与他签订正式合约，让他加入公司了哦！		斯通
100901		我们终于要有新艺人了，很期待将要跟我演对手戏的会是怎样一个演员呢？	{actor}
101001		你以前应该也有参加过主创团队为了电影做的巡回宣传吧！不过，现在你的身份可不一样啦！	特蕾西
101002		是啊，以前我确实没太关注过具体的活动筹划，毕竟我只要准时出席就好。不过，我相信你肯定已经有计划了吧？	{name}
101003		当然啦，虽说你的影响力很大，但我们公司作为一家电影公司还是刚刚起步呢。就让我们按照最基础的方式在这座城市进行宣传吧！	特蕾西
101101		说起来，考虑到我们公司目前基本所有事情都是你亲力亲为，真担心你会透支自己呢。也许我们可以雇一个专业的秘书帮你分担一些工作哦！	特蕾西
101201		路演成功！而且在我们的鼓励下粉丝后援会也建立起来了，有他们的自发宣传，我们在这里的粉丝一定会越来越多的！	特蕾西
101301		有的电影制作精良，观众好评如潮，可就是票房惨淡。有时候大家都不看好的片，却偏偏能够大卖……真是让人有点看不透呀。	特蕾西
101302		捉摸不透也是一种魅力呀，就把市场的青睐当做蒙娜丽莎那抹神秘的微笑吧！我们也许影响不了市场，但我们可以控制我们出品的影片质量，不是吗？	{name}
101303		确实呢，尽力把我们能做的做到最好吧！我相信，一定会有回报的！	特蕾西
101401		你真的以为一切都会这么顺利下去吗？天真……	凯文
101501		公司越来越大，需要照料的事情越来越多，让我都觉得有点手忙脚乱了……	{name}
101502		这样可不行哦，毕竟你可是要带领我们成为票房传奇的呢！	特蕾西
101503		肯定会的，不过，这可少不了你的帮助啊。愿不愿意对未来的明星制片人伸出援手，帮我安排一下每天的工作日程呢？	{name}
101504		老板大人的要求当然要答应啦！不过先提醒你，我的日程安排可是很紧密的哦，你要做好心理准备喔！	特蕾西
101505		当然。对了，差点儿忘了，斯通的合约应该已经到期了，我们赶紧去找他过来签约吧！	{name}
101601		这已经是我们巡回宣传的第3座城市了，发展的比我想象中要顺利得多呢，希望能一直这么保持下去就好啦。	{name}
101602		是啊，虽然对于我们的全球第一的目标，第3座城市只能算是万里长征第一步。但我们目前为止确实做得不错。就让我们继续加油吧！	特蕾西
101603		精神不错嘛！这样才对，就让我们一起干出一番大事业吧！	斯通
101701		奇怪，这次的路演……虽然算是成功了，但是从数据来看，吸引到的观众简直连以往的一半都没有。	{name}
101702		确实，人群很稀疏，而且看上去也不够热情…是我们的宣传策略出了问题吗？	特蕾西
101703		这种情况，即使完成了路演，也没法让人放心啊。我们需要调查一下原因了。	{name}
101801		交代你的事情，怎么样了？	凯文
101802	巨星影业CEO，{name}的前老板。为人冷酷精明，为达目的可以不择手段。似乎是对于主角擅自做出息影决定并自立门户而不满，但也许还有更深层的原因…		凯文
101803		很成功喔，凯文先生。在我们行动的影响下，{name}他们的路演效果很不理想，现在大概正在焦虑的寻找原因吧！	简妮
101804	凯文的秘书，美丽性感，能力很强，对于凯文与主角之间的矛盾争斗乐在其中，时不时还会从旁推波助澜。		简妮
101901		这次的路演仍然没有太大起色…找到原因了吗？	{name}
101902		嗯……没有明确证据，但是，从种种迹象来推断，我认为巨星影业是幕后主使的可能性很高。	特蕾西
101903		巨星影业？这样啊……	{name}
102001		已经连续三次路演都惨淡收场了呢，他们好像还没有采取什么措施。该不会被打击的一蹶不振了吧？	简妮
102002		如果{name}会这么简单就认输，那我可能真是看错了人。	凯文
102003		您好像很期待他们的反击呢！	简妮
102101		我们下一次路演就以我们正在筹备的那部新电影为主题吧。	{name}
102102		没问题，但是有巨星影业在背后捣乱，我不确定宣传能起到多大效果……	特蕾西
102103		如果凯文还是我所认识的那个人的话，我们就有希望。	{name}
102104		既然你都这么说了，我当然没意见啦。那么，具体执行就交给我吧！	特蕾西
102201		成功了！我们的路演终于恢复以往的盛况了！你太厉害啦！	特蕾西
102202		是啊……	{name}
102203		怎么了？你好像对此并不太开心啊。 出什么问题了吗？	特蕾西
102204		没有，只是想到这个计划赖以成功的根本……让我感到有点愧疚。	{name}
102301		这已经是我们巡回宣传的第10座城市了，回想我们创立公司，拍摄第一部电影……一切都还恍若昨日呢。真是不可思议。	{name}
102302		是呀！不知不觉，我们公司已经走上了正轨。虽然中间也有不少曲折，但是我们都克服过来啦！ 尤其现在巨星影业没有再阻扰我们的路演了，一切都更加顺利了呢！	特蕾西
102303		是啊，最初只有我一个演员的时候，说实话，真没想到能有今天。	{actor}
102304		确实，一路走来不容易，大家都辛苦啦。等今天的工作结束，我们开个小派对庆祝一下吧！	{name}
102401		可以冒昧请问您一件事吗？	简妮
102402		你想知道为什么我要求不再干扰他们的路演了是吗？告诉你也无妨。你还记得他们那一次的路演宣传的电影主题吗？	凯文
102403		是关于一部他们正在筹拍的以某次大规模缉毒行动为蓝本的枪战片吧？	简妮
102404		没错。那场行动最终大获成功，但是不少警员最终没能亲眼见证那场胜利。……我儿子，就是其中之一。而{name}也知道这件事。	凯文
102501		在上次的事情之后，到现在，一切都风平浪静啊……	{name}
102502		一切顺利不是很好嘛？怎么，你还希望出点事情呀？	特蕾西
102503		只希望这不是暴风雨前的宁静吧。	{name}
102601		这份名单上就是所有可能的投资人了吗？	凯文
102602		没错哦！除非他们找些完全的圈外人来进行投资，那样就比较难预测了呢。	简妮
102603		{name}的人脉我心里有数，至于那个Tracy Jones小丫头，更不可能玩出什么花样。就按这个名单来。	凯文
102604		没问题。	简妮
102701		只要是我能做到的，为了公司我都愿意。但是老板，你确定要这么做吗？	{actor}
102702		嗯。与其提心吊胆等对方下一步动作，不如我们主动出击。	{name}
102703		我明白了，那特蕾西小姐那边呢？需要跟她说清楚吗？	{actor}
102704		不用担心，等到合适的时机，我会告诉她的。现在知道的人越少越保险。	{name}
102801		你竟然只因为这种无聊的理由怀疑我？这么做对我自己根本没有任何好处！我可是从公司成立起跟你一起奋斗到今天！	{actor}
102802		有没有好处只有你自己知道。不过你说的没错，你努力的够久了，我看你倒是时候“休息”了。	{name}
102803		你怎么能这样？！	{actor}
102804		等等，你们两个怎么了！冷静一下啊！	特蕾西
102901		“昔日影帝，新晋电影制作人{name}与旗下艺人公开呛声，疑似关系破裂？！”哎呀，头条新闻标题还是一如既往的耸动呢！	简妮
102902		呵……这就沉不住气了啊。	凯文
102903		您认为这是假动作吗？	简妮
102904		这一招真是浅薄的让我失望。不过，既然他们想玩，就权当消遣吧。	凯文
103001		如何？我可是很真诚的代表巨星影业对你发出邀请哦？	简妮
103002		如果我同意了，那不就让{name}更加确信自己对我的猜疑是对的？	{actor}
103003		呵呵，即使你不同意，难道就能改变{name}的想法？清醒一点吧，你也明白我们确实能给你更多。任何一个理智的人都该为自己的未来负责。	简妮
103004		……我需要再考虑一下。	{actor}
103101		如您所料，他们还在假装犹豫呢。	简妮
103102		你就继续陪他们演下去吧。另外那件事情进展如何？	凯文
103103		目前为止很顺利呢，我已经在安排跟名单上的那些投资人的会面细节了。	简妮
103104		很好。定好所有细节之后再给我汇报。	凯文
103201		圈内传闻巨星影业正在与{actor}洽谈合作了……你真的不在乎吗？	特蕾西
103202		其实，那次争吵是故意的。我希望{actor}加入他们，成为我们的间谍。	{name}
103203		原来是这样……但是，你可以事先跟我说一声嘛。	特蕾西
103204		哈哈，抱歉。但是，想骗过敌人就要先骗过自己人呀。	{name}
103301		你看今天的新闻，巨星影业已经正式宣布与{actor}合作啦！	特蕾西
103302		嗯。我们这边的合同还没结束，所以他们短期内不会达成正式签约，{actor}也要慢慢赢取他们的信任才行。	{name}
103303		放心吧，都成功打入内部了，凭我们头号演员的演技，只是时间问题啦！	特蕾西
103401		现在{actor}已经正式与我们达成“合作”了，下一步您打算怎么办呢？	简妮
103402		既然是棋子，当然要发挥棋子应有的作用。	凯文
103403		明白，我会继续配合他们的演出的，呵呵！	简妮
103501		抱歉，目前我暂时还接触不到太多信息。	{actor}
103502		没事，他们现在对你有所防备是正常的，辛苦你了。	{name}
103601		{name}看来还在等着他们的“信使”给他们提供情报呢。	简妮
103602		愚蠢……只顾着注意眼前的事永远不可能获得成功。	凯文
103603		但是这对我们很有好处呢！他们根本没察觉我们的真实目的。	简妮
103701		您辛苦了。这次会面很顺利呢。	简妮
103702		当然，他们没有理由拒绝。	凯文
103703		很期待{name}知道消息时会是什么表情呢！	简妮
103801		不知不觉我们都已经完成了超过半数的城市宣传了啊。	{name}
103802		是呀，能走到今天，离不开大家的共同努力呢。	特蕾西
103803		抱歉打扰你们的好氛围了，我有个不那么让人愉快的消息。	斯通
103901		你是说，巨星影业说服了我们的合作伙伴中止合约？	{name}
103902		没错……有个朋友告诉我，凯文约了业内的知名影业公司高管和投资人见面，希望他们能够停止与我们的合作。	斯通
103903		他们难道就这么答应了吗？	特蕾西
103904		他们的决定很合理，毕竟在这一行，没有人想得罪巨星影业。况且，还能顺水推舟卖凯文一个人情……	{name}
104001		事到如今也没必要继续我们那套间谍的计划了，让{actor}回来吧。	{name}
104002		你觉得巨星影业早就察觉了吗？	特蕾西
104003		（苦笑）不光察觉，他们还很好的利用了呢。我们的注意力都在{actor}身上，反而放松了警惕。	{name}
104101		{name}跟{actor}“和好”了。呵呵，看来应该是已经知道我们的行动了呢。	简妮
104102		无妨。就看看这种情况下，{name}会怎么办吧。	凯文
104201		不行，我计算了一下，虽然以我们公司目前的资金储备，确实可以支持一段时间的运营，但是如果想要长久发展下去，完全不寻求外界合作是不现实的。	特蕾西
104202		我明白。凯文也明白，所以他才会采取这种行动。	{name}
104301		你要举办一个宴会邀请我们所有的投资人，以及，凯文？	特蕾西
104302		嗯。目前他们还没发出正式的撤资通告，我们还有机会。	{name}
104303		但是，这样真的能有用吗？	特蕾西
104304		其实关键在于我们能不能成功让凯文出席宴会，这是一切的前提。	{name}
104401		是来自{name}的宴会邀请函呢，您打算去吗？	简妮
104402		如果我去了，反倒给了他们与投资人谈判的资本。	凯文
104403		明白了，我会把您的回复传达到的。	简妮
104501		就是这样，凯文可不打算来参加宴会哦。你要怎么办呢！	简妮
104502		你特意过来，就是为了告诉我这个消息？你还真是煞费苦心啊。	{name}
104503		别这么说嘛，坏消息就应该当面告知，不是吗？	简妮
104601		凯文拒绝出席，你打算怎么办呢？你说过，这次宴会能否成功达到我们的目标，就取决于他吧？	特蕾西
104602		没错。事到如今，只剩最后一个办法了……	{name}
104701		既然你亲自把坏消息带到了，那么，不介意再帮我给凯文带个回信吧？	{name}
104702		当然，前提是，你的回信让我足够感兴趣的话。	简妮
104703		（耳语）……如何？	{name}
104704		呵呵，还不错呢。放心吧，我会转告凯文的！	简妮
104801		想单独跟我会面？{name}凭什么认为我会答应？	凯文
104802		会面地点比较特殊喔。是在……（小声）	简妮
104803		……我知道了。	凯文
104901		其实，你们关系很不错吧？或者说，曾经很不错？	特蕾西
104902		嗯？你是说我和凯文吗？	{name}
104903		是呀。虽说他是我们的对手，可是我觉得你们对彼此的熟悉与了解都远远超过一般商业竞争的程度。	特蕾西
104904		哈哈，你很敏锐呢。是啊，或许，没有人能比我们对彼此更了解了吧……	{name}
105001		你知道选在这个地点会面，我不会拒绝。那么，你想说什么？	凯文
105002		十年了，凯文。距离我最好的朋友——你的儿子——在那场缉毒行动中牺牲，已经十年了。	{name}
105003		……你约我过来，就是想给他扫墓吗？	凯文
105004		他至死都没有等到你的理解。过了这么多年了，你仍然不明白吗？	{name}
105101		我应该明白什么？他拒绝了我可以给他的一切，明明可以过着光鲜的人生，却非要忤逆我的所有安排，最后死于非命，而你想让我理解他的所作所为？	凯文
105102		难道只有按照你的安排去活着，才是“正确”的人生吗？凯文，他不是你剧本里的角色，只能按照你编好的剧情前进。他有自己的思考，有自己的感情。他的牺牲是悲剧，但不是无谓的！	{name}
105103		他没有跟任何人提起过你是他的父亲。但是他其实拼了命在努力向你证明他可以演绎好属于自己的人生，而你呢？凯文，你试过体谅他的心情吗？如果你能够明白，那么他也许不用抱着遗憾死去！	{name}
105104		你对我来说，是长辈，更是恩师。没有你的教诲和指导，我不会有今天。我知道你为什么对我擅自宣布息影耿耿于怀，可是，我也不是你剧本中被安排好命运的角色。	{name}
105201		……随便你吧。撤资这件事，我不会再干涉。	凯文
105202		谢谢你，凯文！来参加派对吧，作为对手，也作为恩师，我希望你能见证我的成长！	{name}
105203		哼。别让我失望。	凯文
105301		你跟凯文的会面怎么样？还顺利吗？他会来吗？	特蕾西
105302		放心吧！我已经搞定了。	{name}
105303		接下来，就是我们反击的时候了！	{name}
200101		你现在可是公司老板啦，不能不关注公司的资金状况喔！这次资金链断裂，还好我们的投资人对我们很有信心，愿意给我们一笔资金补上缺口，下次可不一定了哦！	特蕾西
200102		嗯，这次是我的疏忽，抱歉。之后我会注意的。	{name}
