int	string
编号	任务名称
id	name
1001	拍摄5部电影
1002	升级艺人10次
1003	培养艺人1次
1004	赠送艺人礼物10个
1005	让3名艺人完成技能训练
1006	升级艺人技能1次
1007	完成公务30次
1008	完成会议10次
1009	接见粉丝10次
1010	城市宣传20次
1011	领取城市收益5次
1012	祝贺总排行榜1次
1013	祝贺影片排行榜1次
1014	领取比赛礼包1次
1015	升级宝物1次
1016	领取10次生产成果
1017	完成10个订单
1018	领取影片持续收益3次
1019	用宣传册提升电影关注度5次
1020	向合作者赠送1次绿钞
1021	完成1个合作任务
1022	装填1次合作订单
1100	建造电影院
1101	建造摄影棚
1102	拍摄第1部电影
1103	领取1次电影持续收益
1104	建造艺人教室
1105	招募1个新艺人
1106	将1位艺人升到10级
1107	建造市场部
1108	在星光大道完成宣传
1109	将市场部升至2级
1110	累计提升2次电影关注度
1111	在环球影城完成宣传
1112	顺利进行1次路演
1113	占领洛杉矶的市场
1114	在洛杉矶任命1位形象大使
1115	为1部电影选择重点宣传城市
1116	拍摄第2部电影
1117	建造宣传部
1118	累计提升6次电影关注度
1119	累计领取电影持续收益超过8000美元
1120	领取1次城市经营收益
1121	建造仓库
1122	进行生产
1123	建造销售部
1124	升级摄影棚
1125	建造商务部
1126	将1位艺人升到20级
1127	拍摄第3部电影
1128	查看1次电影排行榜
1129	完成订单
1130	占领纽约的市场
1131	在纽约同时任命3位形象大使
1132	建造办公室
1133	处理3次公务
1134	领取2次城市经营收益
1135	累计完成2次生产
1136	建造接待室
1137	接待1位粉丝
1138	占领华盛顿的市场
1139	在华盛顿同时任命3位形象大使
1140	将1位艺人升到20级
1141	占领芝加哥的市场
1142	建造办公室
1143	处理3次公务
1144	累计领取电影持续收益超过5000绿钞
1145	领取2次城市经营收益
1146	累计完成2次生产
1147	建造接待室
1148	接待1位粉丝
1149	查看排行榜
3101	解锁{0}个剧本
3102	解锁{0}个剧本
3103	解锁{0}个剧本
3104	解锁{0}个剧本
3105	解锁{0}个剧本
3106	解锁{0}个剧本
3107	解锁{0}个剧本
3108	解锁{0}个剧本
3109	解锁{0}个剧本
3110	解锁{0}个剧本
3201	解锁剧本的星级总计达到{0}个
3202	解锁剧本的星级总计达到{0}个
3203	解锁剧本的星级总计达到{0}个
3204	解锁剧本的星级总计达到{0}个
3205	解锁剧本的星级总计达到{0}个
3206	解锁剧本的星级总计达到{0}个
3207	解锁剧本的星级总计达到{0}个
3208	解锁剧本的星级总计达到{0}个
3209	解锁剧本的星级总计达到{0}个
3210	解锁剧本的星级总计达到{0}个
3301	完成{0}个剧本的挑战
3302	完成{0}个剧本的挑战
3303	完成{0}个剧本的挑战
3304	完成{0}个剧本的挑战
3305	完成{0}个剧本的挑战
3306	完成{0}个剧本的挑战
3307	完成{0}个剧本的挑战
3308	完成{0}个剧本的挑战
3309	完成{0}个剧本的挑战
3310	完成{0}个剧本的挑战
