int	string	string
ID	Key	值
id	key	value
1	cannotRecharge	导演大人你的账号还未转正哦，这样子是没办法充值的~
2	cannotRechargeNoIos	该功能暂未开放，敬请期待~
3	rechargeError	充值失败，导演大人别急，稍候再重试看看哦~
4	systemTip	系统提示
5	LangSelectMsg	语言需要重启游戏才有效!
6	FunNoOpen	此功能暂未开放，敬请期待！
7	ButtonSelect	选择
8	ButtonOk	确定
9	ButtonCannel	取消
10	ButtonYes	是
11	ButtonNo	否
12	Complete	完成
13	Disable	没有开放
14	Lock	没解锁
15	TitleTip	提示
16	ErorNoInitProto	没有初始化网络
17	ErorRequestServerList	请求服务器列表失败
18	ErorAccountFrozen	账号被冻结
19	ErorAccountDropped	账号被停用
20	TipEnterRoleName	输入你的名称
21	ErrorNameEmpty	名字不能是空的
22	ErrorContentEmpty	内容不能是空的
23	ErrorNameUsed	名称已经被使用
24	ErrorHttpSendFail	发送请求失败
25	HttpTimeOut	网络超时! 当前设置的超时时间是{0}
26	AlertTextBuyActor	是否花费{0}{1}增加艺人数量
27	AlertTextScountActor	是否花费{0}{1} 探查艺人？
28	ToastTextItemNotEnough	{0}数量不足
29	ToastTextItemNotEnough2	数量不足，需要{0} {1}
30	AfterToScountActor	{0}后探查次数加1
31	AfterToClearNoseTimes	星探今天已下班，{0}后即可再派他出去。|n|也可消耗星探放大镜即刻派出
32	ScountActor	探查
33	ActorMax	艺人招募数量最大
34	HideActorMax	雪藏艺人数量达到最大，请升级公司等级或艺人教室等级
35	DisHideAllActor	无法雪藏全部艺人
36	DisHideActorInUse	无法雪藏正在使用的艺人
37	SureHideActor	是否确认雪藏{0}
38	ActorWillLeave	这些艺人将于{0}后离开
39	ActorWillLeave1	艺人剩余离开时间：
40	SureResetActors	是否重新探查艺人？
41	CostToResetActors	探查次数已用完，是否花费星探放大镜？
42	ResetNose	重新探查
43	TalentText	星探
44	HiddenText	雪藏
45	TalentTimes	探查次数
46	UnlockSkill	艺人等级达到{0}级
47	AlertNoseActor	是否花费{0}{1}招募
48	CanScountActorNums	可招募：{0}/{1}
49	SrcActorName	原艺名：{0}
50	Lv	{0}级
51	LVDot	LV.{0}
52	CurNextLv	等级：{0}/[color=#488fc1]{1}[/color]
53	UpgradeNeedGold	升级所需金币：{0}
54	Upgrade	升级
55	RemainTimes	剩余次数
56	CanScountActor	可招募：
57	CanHideActorNums	可雪藏{0}/{1}
58	ActorTrain	培养
59	ActorTabBase	基础
60	ActorTabSkill	技能
61	ActorTabAsset	资产
62	ActorTabExport	擅长
63	ActorTabAgent	助理
64	PopularValue	人气值
65	RewardTitle	奖励
66	HideActor	雪藏艺人
67	HideActorDesc	被雪藏的艺人无法工作，您可以在这里重新启用艺人
68	RenameForActor	给{0}起一个艺名吧？
69	Rename	改名
70	Sure	确定
71	Num	{0}个
72	RenameDefault	改名
73	He	他
74	She	她
75	NewActorJoin	新的艺人加入公司
76	NoseSuccess	招募成功
77	SameActorJoin	已有同名艺人
78	SureUseDefaultName	确认使用默认名字？
79	RenameAnGoodName	给{0}取个好名字吧
80	NameDisNull	名字不能为空
81	Input4toNumChar	输入4到{0}个字符
82	NoseActor	招募
83	AliveAcotr	是否确认花费{0}{1}复活该艺人
84	Hour	小时
85	Minute	分
86	Second	秒
87	Input1toNumChar	输入1到{0}个字符
88	ActorRecoverToDealAsset	已转化为艺人合同和艺人资产
89	NoForzen	[没有雪藏的艺人]
90	ChooseSendAssetNum	选择要赠送的资产数量
91	GetAssetToGetProp	每得到{0}个即可
92	LoyaltyText	忠诚度
93	NeedLoyalty	需要忠诚度{0}级
94	LvUpMax	等级达到最大
95	UpLvLimit	提高等级上限
96	LvUpTo	{0} 等级上限从 {1} → {2}需要
97	Send	赠送
98	ExpertStory	擅长的剧本
99	ExpertCharacter	擅长的角色
100	ExpertType	擅长的类型
101	SendAssetMax	赠送数量达到上限
102	LvMax	等级已满
103	SkillLvMaxTip	技能等级已满，无法继续升级
104	ExpCosts	经验消耗
105	SkillExpNotEnough	技能经验不足
106	GetRandomTrainAttr	随机获取两种属性提升
107	CompanyTodayTrain	公司今日培养次数：
108	ActorCanUseTrain	艺人可用培训次数:
109	ActorAutoVisit	自动接待
110	ActorBreakToLv	该艺人等级限制突破到{0}
111	CompanyTodayTrainMax	公司今日培养次数达到上限
112	ActorTrainMax	艺人培养次数达到上限
113	TrainCompleteRightNow	立即完成培养
114	HaveAgentCanComplete	拥有终身秘书可立即完成
115	HaveAgentCanAutoRead	拥有终身秘书可自动批阅
116	AutoRead	自动批阅
117	HaveAgentCanAutoPublicize	拥有终身秘书可自动宣传
118	TrainOpen	艺人培养需先占领{0}
119	SkillOpen	艺人技能需要公司等级{0}
120	AssetOpen	艺人资产需要公司等级{0}
121	CompanySignAcotr	{0}签约了新艺人
122	ActorUpgradeAssetCount	艺人资产上限增加{0}
123	Use	使用
124	AssetSendMax	赠送数量已达上限
125	AssetSendMaxToExpend	该艺人无法收下更多礼物了，可以通过提升艺人等级或使用忠诚奖章增加上限?
126	AssetExpend	增加赠送上限
127	AssetChooseCardNum	选择需要使用忠诚奖章的数量
128	AssetArtistUpgrade	艺人升级
129	AssetUseCard	使用忠诚奖章
130	ActorSkillExp	技能经验:{0}
131	age	年龄
132	sex	性别
133	country	国籍
134	type	类型
135	OldName	原艺名：
136	Level	等级:
137	RenameTip	老板，要给我重新起个艺名吗?
138	DiamondTrain	钻石培养
139	DiamondMustBeMax	(钻石培养必然获得最大值)
140	PropertyTipMsg	在仓库可分解高星资产，或者用低星资产合成。
141	ClickAnyWhereToClose	点击任意位置关闭界面
142	Year	年
143	Month	月
144	Day	日
145	MaxLevel	满级
146	SecondBuyArtistMsg	您已经拥有此艺人了，是花费{0}{1}再次招募？(会转换得到该艺人的合同和资产)
147	TrainOpenLv	艺人等级达到{0}级开放
148	RelieveArtist	启用
149	FilmProficiencyTitle	艺人熟练度展示
150	FilmSelectActorTitle	艺人选择
151	FilmCostViewTitle	薪酬统计
152	PleaseSelectActor	点击选择演员
153	ActorForFilmTitle	艺人契合
154	FilmTypeSelectTitle	请选择本次拍摄的类型
155	CurMarketTip	当前市场情况
156	FilmNoticeTitle	通告选择
157	FilmSQViewTitle	杀青属性对比
158	CinemaSelectionTitle	院线选择
159	FeedBackTitle	媒体评分
160	AudienceReputationTitle	观众口碑
161	SysTipTitle	系统提示
162	AllTempTip	不能全部使用临时演员
163	RefrushStory	刷新剧本
164	RefrushStoryTip	是否花费{0}{1}刷新剧本？<br>今日还可刷新{2}次
165	RefrushStoryTipOver	刷新次数已用完
166	NoStoryList	未发现任何剧本，请稍候再试
167	ChangeStoryName	修改剧本名称
168	StoryNameLimit	剧本名称{0}个字符
169	SelectTypeNone	请选择类型
170	NoticeScore	{0}分
171	CostFree	free
172	SYNTH	选择
173	Play	Play:
174	NoAttAdd	不加属性
175	NameLV	{0}|n|LV.{1}
176	FilmActor	饰：{0}
177	FilmProficiency	熟练度{0}级： + {1}
178	FilmAverage	同档电影平均 {0}
179	sexMan	男
180	sexWomen	女
181	sexChild	儿童
182	TotalFilm	总票房：{0}
183	filmOverMarketTip1	当前市场喜好导致 {0}% 票房提升，有超过 {1}% 的观众非常喜欢这个故事！
184	filmOverMarketTip2	有 {0}% 还认为 {1} 电影非常适合此故事！
185	filmOverMarketTip3	There's more
186	filmOverMarketTip4	Now.
