int	string	string	string	string
ID	备注	UI编号	UI元件名称	值
id	comment	name	mz	value
1	Activity - ActivityMain	9qou8rs7sga10-n5_sga1	title	标题
2	Activity - ActivityMain	9qou8rs7sga10-n11_ac07	title	Emolument
3	Activity - ActivityMain	9qou8rs7sga10-n23_ynh3	noActivity	No Activity Available
4	Activity - ActivitySeven	9qou8rs7sga12-n10_sga1	tip1	活动时间：
5	Activity - ActivitySeven	9qou8rs7sga12-n11_sga1	tip2	活动介绍：
6	Activity - ActivitySeven	9qou8rs7sga12-n13_sga1	tip2Val	新注册用户在注册10天内累积充值XXX点券，|n|即可获得【四星艺人】艺人名字|n|即可获得【四星艺人】艺人名字
7	Activity - ActivityTopItemBtn	9qou8rs7sga11-n3_sga1	title	提示文字
8	Activity - Dialog	9qou8rs7f9f11e-n9_hz3m	title	Everybody
9	Activity - LicenseReq	9qou8rs7ac07w-n8_ac07	tip1	License
10	Activity - LicenseReq	9qou8rs7ac07w-n9_ac07	tip2	License
11	Activity - LicenseReq	9qou8rs7ac07w-n10_ac07	tip3	License
12	Activity - ApplyLicensePanel	9qou8rs7vuzmf-n21_hh76	msgTitle	雇用小秘书可享受以下特权：
13	Activity - LicenseReq	9qou8rs7ac07w-n13_ac07	okBtn	Get a permit
14	Activity - SecretaryButton	9qou8rs7rrsj7-n16_hh76	title	name
15	Activity - SecretaryCommon	9qou8rs7rrsj8-n3_hh76	n3	Click anywhere to continue
16	Activity - SecretaryGiftButton	9qou8rs7rrsja-n14_hh76	title	Secretary gift
17	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n4_hh76	title	Secretary gift
18	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n5_hh76	des	You need a secretary before you can buy it
19	Activity - SecretaryPanel	9qou8rs7rrsjc-n21_hh76	msgTitle	雇用小秘书可享受以下特权：
20	Activity - SecretaryPanel	9qou8rs7rrsjc-n30_hh76	welfareBtn	领取福利
21	Activity - SecretaryPanel	9qou8rs7rrsjc-n13_hh76	tipmsg	owned
22	Activity - Dialog	9qou8rs7c3b71e-n9_hz3m	title	Everybody
