int	string	string
编号，只能在后面增加，不能修改编号，	功能名称	未解锁点击提示文字，（文字表示提示内容，0表示无）
id	name	touch_txt
3	拍摄	需要建造摄影棚
4	艺人	需要建造艺人教室
5	市场	需要建造市场部
6	仓库	需要建造仓库
21	商城	需要建造宣传部
22	充值	该功能尚未解锁
23	日常	需要建造接待室
24	福利	需要建造市场部
25	活动	需要建造艺人教室
26	超级偶像	0
31	设置	0
32	邮箱	0
33	聊天	需要达到街区2档
41	奥斯卡	需要建造宣传部
51	生产	需要建造仓库
52	订单	需要建造销售部
53	公务	需要建造办公室
54	粉丝	需要建造接待室
55	会议	需要建造会议室
61	剧本	需要公司到达30级
62	院线	需要达到街区2档
63	编剧	需要达到街区6档
64	艺人名录	需要公司到达10级
65	宝物	需要达到街区7档
71	集团	需要达到街区3档
72	领袖	0
73	合作	需要达到街区2档
104	排行榜	需要公司到达25级
1001	商城	需要公司到达25级
1002	充值	0
1003	日常任务	需要完成所有主线任务
1004	福利	需要完成主线任务：建造仓库
1005	活动	需要完成主线任务：招募一个新艺人
1006	超级偶像	0
1007	设置	0
1008	邮箱	0
1009	聊天	需要达到街区2档
1010	合作	需要达到街区2档
1011	经营	需要建造仓库
1012	管理	需要公司到达40级
1013	社交	需要达到街区2档
1014	拍摄	需要建造摄影棚
1015	艺人	需要建造艺人教室
1016	市场	需要建造市场部
1017	仓库	需要建造仓库
1018	排行榜	需要公司到达25级
1019	奥斯卡	需要建造宣传部
2001	生产	需要建造商务部
2002	订单	需要建造销售部
2003	公务	需要建造办公室
2004	粉丝	需要建造接待室
2005	会议	需要建造会议室
2006	剧本	需要公司到达40级
2007	院线	需要达到街区2档
2008	编剧	需要达到街区6档
2009	艺人名录	需要公司到达50级
2010	宝物	需要达到街区7档
2011	集团	需要达到街区3档
2012	领袖	0
2013	合作	需要达到街区2档
2014	艺人招募	需要建造艺人教室
2015	艺人外派	需要建造艺人教室
2016	艺人培训	需要占领檀香山
2017	艺人训练	需要建造训练室
2018	主线任务奖励	需要完成任务：拍摄第一部电影
2019	等级礼包	需要完成所有主线任务
2020	奖杯礼包	需要达到街区2档
10001	经营	0
10002	管理	0
10003	社交	0
10004	合作	需要达到街区2档
