int	string	string	string
ID	英文名字	英文描述	获得途径描述
id	name	tips	getway
1001			
1002			
1003			
1004			
1005			
1006			
2001			
2002			
2003			
2004			
2005			
2006			
2007			
2008			
2009			
2010			
2011			
2012			
2013			
2014			
2015			
3001			
3002			
3003			
3004			
3005			
3006			
3007			
3008			
3009			
3010			
3011			
3012			
3013			
3014			
3015			
3016			
3017			
3018			
4001			
4002			
4003			
4004			
4005			
4006			
4007			
4008			
4009			
4010			
4011			
4012			
4013			
4014			
4015			
4016			
4017			
4018			
4019			
4020			
4021			
4022			
4023			
4024			
4025			
4026			
4027			
4028			
4029			
4030			
5001			
5002			
5003			
5004			
5005			
5006			
5007			
5008			
5009			
5010			
5011			
5012			
5013			
5014			
5015			
5016			
5017			
5018			
5019			
5020			
5021			
5022			
5023			
5024			
5025			
5026			
5027			
5028			
5029			
5030			
5031			
5032			
5033			
9997			
9998			
9999			
