int	string
ID|n|星级*10000+助理类型*1000+等级	助理英文名字
id	name
13011000	
13011001	
13011002	
13011003	
13011004	
13011005	
13011006	
13011007	
13011008	
13011009	
13011010	
13011011	
13011012	
13011013	
13011014	
13011015	
13011016	
13011017	
13011018	
13011019	
13011020	
13011021	
13011022	
13011023	
13011024	
13011025	
13011026	
13011027	
13011028	
13011029	
13011030	
13011031	
13011032	
13011033	
13011034	
13011035	
13011036	
13011037	
13011038	
13011039	
13011040	
13011041	
13011042	
13011043	
13011044	
13011045	
13011046	
13011047	
13011048	
13011049	
13011050	
13011051	
13011052	
13011053	
13011054	
13011055	
13011056	
13011057	
13011058	
13011059	
13011060	
13011061	
13011062	
13011063	
13011064	
13011065	
13011066	
13011067	
13011068	
13011069	
13011070	
13011071	
13011072	
13011073	
13011074	
13011075	
13011076	
13011077	
13011078	
13011079	
13011080	
13011081	
13011082	
13011083	
13011084	
13011085	
13011086	
13011087	
13011088	
13011089	
13011090	
13011091	
13011092	
13011093	
13011094	
13011095	
13011096	
13011097	
13011098	
13011099	
13011100	
13012000	
13012001	
13012002	
13012003	
13012004	
13012005	
13012006	
13012007	
13012008	
13012009	
13012010	
13012011	
13012012	
13012013	
13012014	
13012015	
13012016	
13012017	
13012018	
13012019	
13012020	
13012021	
13012022	
13012023	
13012024	
13012025	
13012026	
13012027	
13012028	
13012029	
13012030	
13012031	
13012032	
13012033	
13012034	
13012035	
13012036	
13012037	
13012038	
13012039	
13012040	
13012041	
13012042	
13012043	
13012044	
13012045	
13012046	
13012047	
13012048	
13012049	
13012050	
13012051	
13012052	
13012053	
13012054	
13012055	
13012056	
13012057	
13012058	
13012059	
13012060	
13012061	
13012062	
13012063	
13012064	
13012065	
13012066	
13012067	
13012068	
13012069	
13012070	
13012071	
13012072	
13012073	
13012074	
13012075	
13012076	
13012077	
13012078	
13012079	
13012080	
13012081	
13012082	
13012083	
13012084	
13012085	
13012086	
13012087	
13012088	
13012089	
13012090	
13012091	
13012092	
13012093	
13012094	
13012095	
13012096	
13012097	
13012098	
13012099	
13012100	
13013000	
13013001	
13013002	
13013003	
13013004	
13013005	
13013006	
13013007	
13013008	
13013009	
13013010	
13013011	
13013012	
13013013	
13013014	
13013015	
13013016	
13013017	
13013018	
13013019	
13013020	
13013021	
13013022	
13013023	
13013024	
13013025	
13013026	
13013027	
13013028	
13013029	
13013030	
13013031	
13013032	
13013033	
13013034	
13013035	
13013036	
13013037	
13013038	
13013039	
13013040	
13013041	
13013042	
13013043	
13013044	
13013045	
13013046	
13013047	
13013048	
13013049	
13013050	
13013051	
13013052	
13013053	
13013054	
13013055	
13013056	
13013057	
13013058	
13013059	
13013060	
13013061	
13013062	
13013063	
13013064	
13013065	
13013066	
13013067	
13013068	
13013069	
13013070	
13013071	
13013072	
13013073	
13013074	
13013075	
13013076	
13013077	
13013078	
13013079	
13013080	
13013081	
13013082	
13013083	
13013084	
13013085	
13013086	
13013087	
13013088	
13013089	
13013090	
13013091	
13013092	
13013093	
13013094	
13013095	
13013096	
13013097	
13013098	
13013099	
13013100	
13014000	
13014001	
13014002	
13014003	
13014004	
13014005	
13014006	
13014007	
13014008	
13014009	
13014010	
13014011	
13014012	
13014013	
13014014	
13014015	
13014016	
13014017	
13014018	
13014019	
13014020	
13014021	
13014022	
13014023	
13014024	
13014025	
13014026	
13014027	
13014028	
13014029	
13014030	
13014031	
13014032	
13014033	
13014034	
13014035	
13014036	
13014037	
13014038	
13014039	
13014040	
13014041	
13014042	
13014043	
13014044	
13014045	
13014046	
13014047	
13014048	
13014049	
13014050	
13014051	
13014052	
13014053	
13014054	
13014055	
13014056	
13014057	
13014058	
13014059	
13014060	
13014061	
13014062	
13014063	
13014064	
13014065	
13014066	
13014067	
13014068	
13014069	
13014070	
13014071	
13014072	
13014073	
13014074	
13014075	
13014076	
13014077	
13014078	
13014079	
13014080	
13014081	
13014082	
13014083	
13014084	
13014085	
13014086	
13014087	
13014088	
13014089	
13014090	
13014091	
13014092	
13014093	
13014094	
13014095	
13014096	
13014097	
13014098	
13014099	
13014100	
13021000	
13021001	
13021002	
13021003	
13021004	
13021005	
13021006	
13021007	
13021008	
13021009	
13021010	
13021011	
13021012	
13021013	
13021014	
13021015	
13021016	
13021017	
13021018	
13021019	
13021020	
13021021	
13021022	
13021023	
13021024	
13021025	
13021026	
13021027	
13021028	
13021029	
13021030	
13021031	
13021032	
13021033	
13021034	
13021035	
13021036	
13021037	
13021038	
13021039	
13021040	
13021041	
13021042	
13021043	
13021044	
13021045	
13021046	
13021047	
13021048	
13021049	
13021050	
13021051	
13021052	
13021053	
13021054	
13021055	
13021056	
13021057	
13021058	
13021059	
13021060	
13021061	
13021062	
13021063	
13021064	
13021065	
13021066	
13021067	
13021068	
13021069	
13021070	
13021071	
13021072	
13021073	
13021074	
13021075	
13021076	
13021077	
13021078	
13021079	
13021080	
13021081	
13021082	
13021083	
13021084	
13021085	
13021086	
13021087	
13021088	
13021089	
13021090	
13021091	
13021092	
13021093	
13021094	
13021095	
13021096	
13021097	
13021098	
13021099	
13021100	
