int	string
ID|n|艺人ID+赠送类型+赠送等级	备注
id	tips
100101001	
100101002	
100101003	
100101004	
100101005	
100101006	
100101007	
100101008	
100101009	
100101010	
100101011	
100101012	
100101013	
100101014	
100101015	
100101016	
100101017	
100101018	
100101019	
100101020	
100101021	
100101022	
100101023	
100101024	
100101025	
100101026	
100101027	
100101028	
100101029	
100101030	
100101031	
100101032	
100101033	
100101034	
100101035	
100101036	
100101037	
100101038	
100101039	
100101040	
100101041	
100101042	
100101043	
100101044	
100101045	
100101046	
100101047	
100101048	
100101049	
100101050	
100101051	
100101052	
100101053	
100101054	
100101055	
100101056	
100101057	
100101058	
100101059	
100101060	
100101061	
100101062	
100101063	
100101064	
100101065	
100101066	
100101067	
100101068	
100101069	
100101070	
100101071	
100101072	
100101073	
100101074	
100101075	
100101076	
100101077	
100101078	
100101079	
100101080	
100101081	
100101082	
100101083	
100101084	
100101085	
100101086	
100101087	
100101088	
100101089	
100101090	
100101091	
100101092	
100101093	
100101094	
100101095	
100101096	
100101097	
100101098	
100101099	
100101100	
100101101	
100101102	
100101103	
100101104	
100101105	
100101106	
100101107	
100101108	
100101109	
100101110	
100101111	
100101112	
100101113	
100101114	
100101115	
100101116	
100101117	
100101118	
100101119	
100101120	
100101121	
100101122	
100101123	
100101124	
100101125	
100101126	
100101127	
100101128	
100101129	
100101130	
100101131	
100101132	
100101133	
100101134	
100101135	
100101136	
100101137	
100101138	
100101139	
100101140	
100101141	
100101142	
100101143	
100101144	
100101145	
100101146	
100101147	
100101148	
100101149	
100101150	
100102001	
100102002	
100102003	
100102004	
100102005	
100102006	
100102007	
100102008	
100102009	
100102010	
100102011	
100102012	
100102013	
100102014	
100102015	
100102016	
100102017	
100102018	
100102019	
100102020	
100102021	
100102022	
100102023	
100102024	
100102025	
100102026	
100102027	
100102028	
100102029	
100102030	
100102031	
100102032	
100102033	
100102034	
100102035	
100102036	
100102037	
100102038	
100102039	
100102040	
100102041	
100102042	
100102043	
100102044	
100102045	
100102046	
100102047	
100102048	
100102049	
100102050	
100102051	
100102052	
100102053	
100102054	
100102055	
100102056	
100102057	
100102058	
100102059	
100102060	
100102061	
100102062	
100102063	
100102064	
100102065	
100102066	
100102067	
100102068	
100102069	
100102070	
100102071	
100102072	
