int	string
ID|n|艺人ID+等级	备注
id	tips
1001001	
1001002	
1001003	
1001004	
1001005	
1001006	
1001007	
1001008	
1001009	
1001010	
1001011	
1001012	
1001013	
1001014	
1001015	
1001016	
1001017	
1001018	
1001019	
1001020	
1001021	
1001022	
1001023	
1001024	
1001025	
1001026	
1001027	
1001028	
1001029	
1001030	
1001031	
1001032	
1001033	
1001034	
1001035	
1001036	
1001037	
1001038	
1001039	
1001040	
1001041	
1001042	
1001043	
1001044	
1001045	
1001046	
1001047	
1001048	
1001049	
1001050	
1001051	
1001052	
1001053	
1001054	
1001055	
1001056	
1001057	
1001058	
1001059	
1001060	
1001061	
1001062	
1001063	
1001064	
1001065	
1001066	
1001067	
1001068	
1001069	
1001070	
1001071	
1001072	
1001073	
1001074	
1001075	
1001076	
1001077	
1001078	
1001079	
1001080	
1001081	
1001082	
1001083	
1001084	
1001085	
1001086	
1001087	
1001088	
1001089	
1001090	
1001091	
1001092	
1001093	
1001094	
1001095	
1001096	
1001097	
1001098	
1001099	
1001100	
1001101	
1001102	
1001103	
1001104	
1001105	
1001106	
1001107	
1001108	
1001109	
1001110	
1001111	
1001112	
1001113	
1001114	
1001115	
1001116	
1001117	
1001118	
1001119	
1001120	
1001121	
1001122	
1001123	
1001124	
1001125	
1001126	
1001127	
1001128	
1001129	
1001130	
1001131	
1001132	
1001133	
1001134	
1001135	
1001136	
1001137	
1001138	
1001139	
1001140	
1001141	
1001142	
1001143	
1001144	
1001145	
1001146	
1001147	
1001148	
1001149	
1001150	
1001151	
1001152	
1001153	
1001154	
1001155	
1001156	
1001157	
1001158	
1001159	
1001160	
1001161	
1001162	
1001163	
1001164	
1001165	
1001166	
1001167	
1001168	
1001169	
1001170	
1001171	
1001172	
1001173	
1001174	
1001175	
1001176	
1001177	
1001178	
1001179	
1001180	
1001181	
1001182	
1001183	
1001184	
1001185	
1001186	
1001187	
1001188	
1001189	
1001190	
1001191	
1001192	
1001193	
1001194	
1001195	
1001196	
1001197	
1001198	
1001199	
1001200	
1001201	
1001202	
1001203	
1001204	
1001205	
1001206	
1001207	
1001208	
1001209	
1001210	
1001211	
1001212	
1001213	
1001214	
1001215	
1001216	
1001217	
1001218	
1001219	
1001220	
1001221	
1001222	
1001223	
1001224	
1001225	
1001226	
1001227	
1001228	
1001229	
1001230	
1001231	
1001232	
1001233	
1001234	
1001235	
1001236	
1001237	
1001238	
1001239	
1001240	
1001241	
1001242	
1001243	
1001244	
1001245	
1001246	
1001247	
1001248	
1001249	
1001250	
1001251	
1001252	
1001253	
1001254	
1001255	
1001256	
1001257	
1001258	
1001259	
1001260	
1001261	
1001262	
1001263	
1001264	
1001265	
1001266	
1001267	
1001268	
1001269	
1001270	
1001271	
1001272	
1001273	
1001274	
1001275	
1001276	
1001277	
1001278	
1001279	
1001280	
1001281	
1001282	
1001283	
1001284	
1001285	
1001286	
1001287	
1001288	
1001289	
1001290	
1001291	
1001292	
1001293	
1001294	
1001295	
1001296	
1001297	
1001298	
1001299	
1001300	
1001301	
1001302	
1001303	
1001304	
1001305	
1001306	
1001307	
1001308	
1001309	
1001310	
1001311	
1001312	
1001313	
1001314	
1001315	
1001316	
1001317	
1001318	
1001319	
1001320	
1001321	
1001322	
1001323	
1001324	
1001325	
1001326	
1001327	
1001328	
1001329	
1001330	
1001331	
1001332	
1001333	
1001334	
1001335	
1001336	
1001337	
1001338	
1001339	
1001340	
1001341	
1001342	
1001343	
1001344	
1001345	
1001346	
1001347	
1001348	
1001349	
1001350	
1001351	
1001352	
1001353	
1001354	
1001355	
1001356	
1001357	
1001358	
1001359	
1001360	
1001361	
1001362	
1001363	
1001364	
1001365	
1001366	
1001367	
1001368	
1001369	
1001370	
1001371	
1001372	
1001373	
1001374	
1001375	
1001376	
1001377	
1001378	
1001379	
1001380	
1001381	
1001382	
1001383	
1001384	
1001385	
1001386	
1001387	
1001388	
1001389	
1001390	
1001391	
1001392	
1001393	
1001394	
1001395	
1001396	
1001397	
1001398	
1001399	
1001400	
1001401	
1001402	
1001403	
1001404	
1001405	
1001406	
1001407	
1001408	
1001409	
1001410	
1001411	
1001412	
1001413	
1001414	
1001415	
1001416	
1001417	
1001418	
1001419	
1001420	
1001421	
1001422	
1001423	
1001424	
1001425	
1001426	
1001427	
1001428	
