int	string	string
ID|n|艺人ID+培养次数+培养类型	培养名称	界面名称
id	name	scene_name
100101		
100102		
100103		
100104		
100201		
100202		
100203		
100204		
100301		
100302		
100303		
100304		
100401		
100402		
100403		
100404		
100501		
100502		
100503		
100504		
100601		
100602		
100603		
100604		
200101		
200102		
200103		
200104		
200201		
200202		
200203		
200204		
200301		
200302		
200303		
200304		
200401		
200402		
200403		
200404		
200501		
200502		
200503		
200504		
200601		
200602		
200603		
200604		
200701		
200702		
200703		
200704		
200801		
200802		
200803		
200804		
200901		
200902		
200903		
200904		
201001		
201002		
201003		
201004		
201101		
201102		
201103		
201104		
201201		
201202		
201203		
201204		
201301		
201302		
201303		
201304		
201401		
201402		
201403		
201404		
201501		
201502		
201503		
201504		
300101		
300102		
300103		
300104		
300201		
300202		
300203		
300204		
300301		
300302		
300303		
300304		
300401		
300402		
300403		
300404		
300501		
300502		
300503		
300504		
300601		
300602		
300603		
300604		
300701		
300702		
300703		
300704		
300801		
300802		
300803		
300804		
300901		
300902		
300903		
300904		
301001		
301002		
301003		
301004		
301101		
301102		
301103		
301104		
301201		
301202		
301203		
301204		
301301		
301302		
301303		
301304		
301401		
301402		
301403		
301404		
301501		
301502		
301503		
301504		
301601		
301602		
301603		
301604		
301701		
301702		
301703		
301704		
301801		
301802		
301803		
301804		
400101		
400102		
400103		
400104		
400201		
400202		
400203		
400204		
400301		
400302		
400303		
400304		
400401		
400402		
400403		
400404		
400501		
400502		
400503		
400504		
400601		
400602		
400603		
400604		
400701		
400702		
400703		
400704		
400801		
400802		
400803		
400804		
400901		
400902		
400903		
400904		
401001		
401002		
401003		
401004		
401101		
401102		
401103		
401104		
401201		
401202		
401203		
401204		
401301		
401302		
401303		
401304		
401401		
401402		
401403		
401404		
401501		
401502		
401503		
401504		
401601		
401602		
401603		
401604		
401701		
401702		
401703		
401704		
401801		
401802		
401803		
401804		
401901		
401902		
401903		
401904		
402001		
402002		
402003		
402004		
402101		
402102		
402103		
402104		
402201		
402202		
402203		
402204		
402301		
402302		
402303		
402304		
402401		
402402		
402403		
402404		
402501		
402502		
402503		
402504		
402601		
402602		
402603		
402604		
402701		
402702		
402703		
402704		
402801		
402802		
402803		
402804		
402901		
402902		
402903		
402904		
403001		
403002		
403003		
403004		
500101		
500102		
500103		
500104		
500201		
500202		
500203		
500204		
500301		
500302		
500303		
500304		
500401		
500402		
500403		
500404		
500501		
500502		
500503		
500504		
500601		
500602		
500603		
500604		
500701		
500702		
500703		
500704		
500801		
500802		
500803		
500804		
500901		
500902		
500903		
500904		
501001		
501002		
501003		
501004		
501101		
501102		
501103		
501104		
501201		
501202		
501203		
501204		
501301		
501302		
501303		
501304		
501401		
501402		
501403		
501404		
501501		
501502		
501503		
501504		
501601		
501602		
501603		
501604		
501701		
501702		
501703		
501704		
501801		
501802		
501803		
501804		
501901		
501902		
501903		
501904		
502001		
502002		
502003		
502004		
502101		
502102		
502103		
502104		
502201		
502202		
502203		
502204		
502301		
502302		
502303		
502304		
502401		
502402		
502403		
502404		
502501		
502502		
502503		
502504		
502601		
502602		
502603		
502604		
502701		
502702		
502703		
502704		
502801		
502802		
502803		
502804		
502901		
502902		
502903		
502904		
503001		
503002		
503003		
503004		
503101		
503102		
503103		
503104		
503201		
503202		
503203		
503204		
503301		
503302		
503303		
503304		
100100101		
100100102		
100100103		
100100104		
100100201		
100100202		
100100203		
100100204		
100100301		
100100302		
100100303		
100100304		
100100401		
100100402		
100100403		
100100404		
100100501		
100100502		
100100503		
100100504		
100100601		
100100602		
100100603		
100100604		
100100701		
100100702		
100100703		
100100704		
100100801		
