int	string
id	效果说明
id	effect_des
100101	
100102	
100201	
100202	
100301	
100302	
100401	
100402	
100501	
100502	
100601	
100602	
100701	
100702	
100801	
100802	
100901	
100902	
101001	
101002	
101101	
101102	
101201	
101202	
101301	
101302	
101401	
101402	
101501	
101502	
101601	
101602	
101701	
101702	
101801	
101802	
101901	
101902	
102001	
102002	
102101	
102102	
102201	
102202	
102301	
102302	
102401	
102402	
102501	
102502	
102601	
102602	
102701	
102702	
102801	
102802	
102901	
102902	
103001	
103002	
103101	
103102	
103201	
103202	
103301	
103302	
103401	
103402	
103501	
103502	
103601	
103602	
103701	
103702	
103801	
103802	
103901	
103902	
104001	
104002	
104101	
104102	
104201	
104202	
104301	
104302	
104401	
104402	
104501	
104502	
104601	
104602	
104701	
104702	
104801	
104802	
104901	
104902	
105001	
105002	
200101	
200102	
200103	
200104	
200105	
200201	
200202	
200203	
200204	
200205	
200301	
200302	
200303	
200304	
200305	
200401	
200402	
200403	
200404	
200405	
200501	
200502	
200503	
200504	
200505	
200601	
200602	
200603	
200604	
200605	
200701	
200702	
200703	
200704	
200705	
200801	
200802	
200803	
200804	
200805	
200901	
200902	
200903	
200904	
200905	
201001	
201002	
201003	
201004	
201005	
201101	
201102	
201103	
201104	
201105	
201201	
201202	
201203	
201204	
201205	
201301	
201302	
201303	
201304	
201305	
201401	
201402	
201403	
201404	
201405	
201501	
201502	
201503	
201504	
201505	
201601	
201602	
201603	
201604	
201605	
201701	
201702	
201703	
201704	
201705	
201801	
201802	
201803	
201804	
201805	
201901	
201902	
201903	
201904	
201905	
202001	
202002	
202003	
202004	
202005	
202101	
202102	
202103	
202104	
202105	
202201	
202202	
202203	
202204	
202205	
202301	
202302	
202303	
202304	
202305	
202401	
202402	
202403	
202404	
202405	
202501	
202502	
202503	
202504	
202505	
202601	
202602	
202603	
202604	
202605	
202701	
202702	
202703	
202704	
202705	
202801	
202802	
202803	
202804	
202805	
202901	
202902	
202903	
202904	
202905	
203001	
203002	
203003	
203004	
203005	
203101	
203102	
203103	
203104	
203105	
203201	
203202	
203203	
203204	
203205	
203301	
203302	
203303	
203304	
203305	
203401	
203402	
203403	
203404	
203405	
203501	
203502	
203503	
203504	
203505	
203601	
203602	
203603	
203604	
203605	
203701	
203702	
203703	
203704	
203705	
203801	
203802	
203803	
203804	
203805	
203901	
203902	
203903	
203904	
203905	
204001	
