int	string
id	院线名称
id	name
1001	
1002	
1003	
1004	
1005	
2001	
2002	
2003	
2004	
2005	
3001	
3002	
3003	
3004	
3005	
4001	
4002	
4003	
4004	
4005	
5001	
5002	
5003	
5004	
5005	
6001	
6002	
6003	
6004	
6005	
7001	
7002	
7003	
7004	
7005	
8001	
8002	
8003	
8004	
8005	
9001	
9002	
9003	
9004	
9005	
10001	
10002	
10003	
10004	
10005	
11001	
11002	
11003	
11004	
11005	
12001	
12002	
12003	
12004	
12005	
13001	
13002	
13003	
13004	
13005	
14001	
14002	
14003	
14004	
14005	
15001	
15002	
15003	
15004	
15005	
16001	
16002	
16003	
16004	
16005	
17001	
17002	
17003	
17004	
17005	
18001	
18002	
18003	
18004	
18005	
19001	
19002	
19003	
19004	
19005	
