int	string	string	string
id	名称	道具描述	获取途径说明
id	name	item_des	get_way_explain
1			
2			
3			
4			
5			
6			
7			
8			
9			
14			
15			
1015			
1091			
4001			
4002			
4003			
4004			
4005			
4006			
4007			
4008			
4009			
4010			
4011			
4012			
4013			
4014			
4015			
4016			
4017			
4018			
5001			
5002			
5003			
5004			
5005			
5006			
5007			
5008			
5009			
5010			
5011			
5012			
6101			
6102			
6103			
6104			
6105			
6106			
6107			
6108			
6109			
6201			
6202			
6203			
6204			
6205			
6206			
6207			
6208			
6209			
6301			
6302			
6303			
6304			
6305			
6306			
6307			
6308			
6309			
7001			
7002			
7003			
7004			
7005			
7006			
7007			
7008			
7009			
7010			
7011			
7012			
7013			
7014			
7015			
7016			
7017			
7018			
7019			
7020			
7021			
7022			
7023			
7024			
7025			
7026			
7027			
7028			
7029			
7030			
7031			
7032			
7033			
7034			
7035			
7036			
7037			
7038			
7039			
7040			
7041			
7042			
7043			
7044			
7045			
7046			
7047			
7048			
7049			
7050			
7051			
7052			
7053			
7054			
7055			
7056			
7057			
7058			
7059			
7060			
7061			
7062			
7063			
7064			
7065			
7066			
7067			
7068			
7069			
7070			
7071			
7072			
7073			
7074			
7075			
7076			
7077			
7078			
7079			
7080			
7081			
7082			
7083			
7084			
7085			
7086			
7087			
7088			
7089			
7090			
7091			
7092			
7093			
7094			
7095			
7096			
7097			
7098			
7099			
7100			
7101			
7102			
7901			
8001			
8002			
8003			
8004			
8005			
8006			
8007			
8008			
8009			
8010			
8011			
8901			
8902			
8903			
8904			
8905			
8906			
9001			
9002			
9003			
9004			
18015			
18091			
