int	string	string
id	盈利名称	名称
id	gain_name	name
10011		
10012		
10013		
10014		
10015		
10016		
10021		
10022		
10023		
10024		
10025		
10026		
10031		
10032		
10033		
10034		
10035		
10036		
10041		
10042		
10043		
10044		
10045		
10046		
10051		
10052		
10053		
10054		
10055		
10056		
10061		
10062		
10063		
10064		
10065		
10066		
10071		
10072		
10073		
10074		
10075		
10076		
10081		
10082		
10083		
10084		
10085		
10086		
10091		
10092		
10093		
10094		
10095		
10096		
10101		
10102		
10103		
10104		
10105		
10106		
20011		
20012		
20013		
20014		
20015		
20016		
20021		
20022		
20023		
20024		
20025		
20026		
20031		
20032		
20033		
20034		
20035		
20036		
20041		
20042		
20043		
20044		
20045		
20046		
20051		
20052		
20053		
20054		
20055		
20056		
20061		
20062		
20063		
20064		
20065		
20066		
20071		
20072		
20073		
20074		
20075		
20076		
20081		
20082		
20083		
20084		
20085		
20086		
20091		
20092		
20093		
20094		
20095		
20096		
20101		
20102		
20103		
20104		
20105		
20106		
30011		
30012		
30013		
30014		
30015		
30016		
30021		
30022		
30023		
30024		
30025		
30026		
30031		
30032		
30033		
30034		
30035		
30036		
30041		
30042		
30043		
30044		
30045		
30046		
30051		
30052		
30053		
30054		
30055		
30056		
30061		
30062		
30063		
30064		
30065		
30066		
30071		
30072		
30073		
30074		
30075		
30076		
30081		
30082		
30083		
30084		
30085		
30086		
30091		
30092		
30093		
30094		
30095		
30096		
30101		
30102		
30103		
30104		
30105		
30106		
40011		
40012		
40013		
40014		
40015		
40016		
40021		
40022		
40023		
40024		
40025		
40026		
40031		
40032		
40033		
40034		
40035		
40036		
40041		
40042		
40043		
40044		
40045		
40046		
40051		
40052		
40053		
40054		
40055		
40056		
40061		
40062		
40063		
40064		
40065		
40066		
40071		
40072		
40073		
40074		
40075		
40076		
40081		
40082		
40083		
40084		
40085		
40086		
40091		
40092		
40093		
40094		
40095		
40096		
40101		
40102		
40103		
40104		
40105		
40106		
50011		
50012		
50013		
50014		
50015		
50016		
50021		
50022		
50023		
50024		
50025		
50026		
50031		
50032		
50033		
50034		
50035		
50036		
50041		
50042		
50043		
50044		
50045		
50046		
50051		
50052		
50053		
50054		
50055		
50056		
50061		
50062		
50063		
50064		
50065		
50066		
50071		
50072		
50073		
50074		
50075		
50076		
50081		
50082		
50083		
50084		
50085		
50086		
50091		
50092		
50093		
50094		
50095		
50096		
50101		
50102		
50103		
50104		
50105		
50106		
