int	string
ID	英文文字
id	speak
1001	
1002	
1003	
1004	
1005	
1006	
1007	
1008	
1009	
1010	
1011	
1012	
1013	
1014	
1015	
1016	
1017	
1018	
1019	
1020	
1021	
1022	
1023	
1024	
1025	
1026	
1101	
1102	
1103	
1104	
1105	
1201	
1202	
1203	
1204	
1205	
1301	
1302	
1303	
1304	
1305	
1401	
1402	
1403	
1404	
1405	
1501	
1502	
1503	
1504	
1505	
1601	
1602	
1603	
1604	
1605	
1701	
1702	
1703	
2101	
2102	
2103	
2104	
3101	
3102	
3103	
3104	
3105	
3106	
3201	
3202	
3203	
3204	
3205	
3206	
3301	
3302	
3303	
3304	
3305	
3306	
3401	
3402	
3403	
3404	
3405	
3406	
3501	
3502	
3503	
3504	
3505	
3506	
3601	
3602	
3603	
3604	
3605	
3606	
3701	
3702	
3703	
3704	
3705	
3706	
3801	
3802	
3803	
3804	
3805	
3806	
3901	
3902	
3903	
3904	
3905	
3906	
4101	
4102	
4103	
4104	
5101	
5102	
5201	
5202	
5301	
5302	
5401	
5402	
5501	
5502	
6001	
6002	
6003	
6004	
6005	
6006	
6007	
6008	
6009	
6010	
6011	
6012	
6013	
6014	
6015	
6016	
6017	
6018	
6019	
6020	
7101	
7102	
7103	
7104	
7105	
7106	
7107	
7108	
7109	
7110	
7111	
7112	
10001	
10002	
10003	
10004	
10005	
10006	
10007	
10008	
10009	
10010	
10011	
10012	
10013	
10014	
10015	
10016	
10017	
10018	
10019	
100101	
100102	
100103	
100104	
100105	
100106	
100107	
100108	
