int	string	string	string
id|n|剧情组*100+顺序	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称|n|{repeatactor}=重复探查艺人
id	ui_content	content	name
100101			
100102			
100103			
100201			
100202			
100203			
100401			
100501			
100502			
100601			
100602			
100603			
100701			
100702			
100703			
100801			
100802			
100803			
100901			
101001			
101002			
101003			
101101			
101201			
101301			
101302			
101303			
101401			
101501			
101502			
101503			
101504			
101505			
101601			
101602			
101603			
101701			
101702			
101703			
101801			
101802			
101803			
101804			
101901			
101902			
101903			
102001			
102002			
102003			
102101			
102102			
102103			
102104			
102201			
102202			
102203			
102204			
102301			
102302			
102303			
102304			
102401			
102402			
102403			
102404			
102501			
102502			
102503			
102601			
102602			
102603			
102604			
102701			
102702			
102703			
102704			
102801			
102802			
102803			
102804			
102901			
102902			
102903			
102904			
103001			
103002			
103003			
103004			
103101			
103102			
103103			
103104			
103201			
103202			
103203			
103204			
103301			
103302			
103303			
103401			
103402			
103403			
103501			
103502			
103601			
103602			
103603			
103701			
103702			
103703			
103801			
103802			
103803			
103901			
103902			
103903			
103904			
104001			
104002			
104003			
104101			
104102			
104201			
104202			
104301			
104302			
104303			
104304			
104401			
104402			
104403			
104501			
104502			
104503			
104601			
104602			
104701			
104702			
104703			
104704			
104801			
104802			
104803			
104901			
104902			
104903			
104904			
105001			
105002			
105003			
105004			
105101			
105102			
105103			
105104			
105201			
105202			
105203			
105301			
105302			
105303			
200101			
200102			
200201			
200202			
200203			
200204			
200301			
200302			
200303			
200401			
200402			
200403			
200501			
200502			
200503			
200504			
200601			
200602			
200603			
200701			
200801			
200802			
200901			
200902			
201001			
201002			
201101			
201102			
201201			
201202			
201301			
201302			
201401			
201402			
201501			
201502			
201601			
201602			
999901			
