int	string	string
ID	Key	值
id	key	value
1	cannotRecharge	
2	cannotRechargeNoIos	
3	rechargeError	
4	systemTip	
5	LangSelectMsg	
6	FunNoOpen	
7	ButtonSelect	
8	ButtonOk	
9	ButtonCannel	
10	ButtonYes	
11	ButtonNo	
12	Complete	
13	Disable	
14	Lock	
15	TitleTip	
16	ErorNoInitProto	
17	ErorRequestServerList	
18	ErorAccountFrozen	
19	ErorAccountDropped	
20	TipEnterRoleName	
21	ErrorNameEmpty	
22	ErrorContentEmpty	
23	ErrorNameUsed	
24	ErrorHttpSendFail	
25	HttpTimeOut	
26	AlertTextBuyActor	
27	AlertTextScountActor	
28	ToastTextItemNotEnough	
29	ToastTextItemNotEnough2	
30	AfterToScountActor	
31	AfterToClearNoseTimes	
32	ScountActor	
33	ActorMax	
34	HideActorMax	
35	DisHideAllActor	
36	DisHideActorInUse	
37	SureHideActor	
38	ActorWillLeave	
39	ActorWillLeave1	
40	SureResetActors	
41	CostToResetActors	
42	ResetNose	
43	TalentText	
44	HiddenText	
45	TalentTimes	
46	UnlockSkill	
47	AlertNoseActor	
48	CanScountActorNums	
49	SrcActorName	
50	Lv	
51	LVDot	
52	CurNextLv	
53	UpgradeNeedGold	
54	Upgrade	
55	RemainTimes	
56	CanScountActor	
57	CanHideActorNums	
58	ActorTrain	
59	ActorTabBase	
60	ActorTabSkill	
61	ActorTabAsset	
62	ActorTabExport	
63	ActorTabAgent	
64	PopularValue	
65	RewardTitle	
66	HideActor	
67	HideActorDesc	
68	RenameForActor	
69	Rename	
70	Sure	
71	Num	
72	RenameDefault	
73	He	
74	She	
75	NewActorJoin	
76	NoseSuccess	
77	SameActorJoin	
78	SureUseDefaultName	
79	RenameAnGoodName	
80	NameDisNull	
81	Input4toNumChar	
82	NoseActor	
83	AliveAcotr	
84	Hour	
85	Minute	
86	Second	
87	Input1toNumChar	
88	ActorRecoverToDealAsset	
89	NoForzen	
90	ChooseSendAssetNum	
91	GetAssetToGetProp	
92	LoyaltyText	
93	NeedLoyalty	
94	LvUpMax	
95	UpLvLimit	
96	LvUpTo	
97	Send	
98	ExpertStory	
99	ExpertCharacter	
100	ExpertType	
101	SendAssetMax	
102	LvMax	
103	SkillLvMaxTip	
104	ExpCosts	
105	SkillExpNotEnough	
106	GetRandomTrainAttr	
107	CompanyTodayTrain	
108	ActorCanUseTrain	
109	ActorAutoVisit	
110	ActorBreakToLv	
111	CompanyTodayTrainMax	
112	ActorTrainMax	
113	TrainCompleteRightNow	
114	HaveAgentCanComplete	
115	HaveAgentCanAutoRead	
116	AutoRead	
117	HaveAgentCanAutoPublicize	
118	TrainOpen	
119	SkillOpen	
120	AssetOpen	
121	CompanySignAcotr	
122	ActorUpgradeAssetCount	
123	Use	
124	AssetSendMax	
125	AssetSendMaxToExpend	
126	AssetExpend	
127	AssetChooseCardNum	
128	AssetArtistUpgrade	
129	AssetUseCard	
130	ActorSkillExp	
131	age	
132	sex	
133	country	
134	type	
135	OldName	
136	Level	
137	RenameTip	
138	DiamondTrain	
139	DiamondMustBeMax	
140	PropertyTipMsg	
141	ClickAnyWhereToClose	
142	Year	
143	Month	
144	Day	
145	MaxLevel	
146	SecondBuyArtistMsg	
147	TrainOpenLv	
148	RelieveArtist	
149	FilmProficiencyTitle	
150	FilmSelectActorTitle	
151	FilmCostViewTitle	
152	PleaseSelectActor	
153	ActorForFilmTitle	
154	FilmTypeSelectTitle	
155	CurMarketTip	
156	FilmNoticeTitle	
157	FilmSQViewTitle	
158	CinemaSelectionTitle	
159	FeedBackTitle	
160	AudienceReputationTitle	
161	SysTipTitle	
162	AllTempTip	
163	RefrushStory	
164	RefrushStoryTip	
165	RefrushStoryTipOver	
166	NoStoryList	
167	ChangeStoryName	
168	StoryNameLimit	
169	SelectTypeNone	
170	NoticeScore	
171	CostFree	
172	SYNTH	
173	Play	
174	NoAttAdd	
175	NameLV	
176	FilmActor	
177	FilmProficiency	
178	FilmAverage	
179	sexMan	
180	sexWomen	
181	sexChild	
182	TotalFilm	
183	filmOverMarketTip1	
184	filmOverMarketTip2	
185	filmOverMarketTip3	
186	filmOverMarketTip4	
187	filmJiesuanWin	
188	filmJiesuanFail	
189	filmJiesuanRewardTip	
190	filmOverTip	
191	guanzhuduValue	
192	guanzhuduOpenTip	
193	continueTip	
194	TimeLeftTip	
195	EndingTitle	
196	EndingTip	
197	promotionBtn	
198	gainEvaluationOver	
199	gainEvaluation	
200	GZMax	
201	CinemaSignTip	
202	NineToFiftyTip	
203	NineToFiftyFiveTip	
204	FilmLongTime	
205	FilmKouBei	
206	ActivityTitle	
207	WelfTitle	
208	NoGetReward	
209	GetReward	
210	Secretary_DailyGiftTitle	
211	Secretary_NeedBuySecretary	
212	Secretary_GetRewardDailySecretary	
213	Secretary_AlreadyPurchased	
214	Buy	
215	SureBuy	
216	Buyed	
217	Secretary_GetWelfare	
218	CooperateTaskType10	
219	CooperateTaskType11	
220	CooperateTaskType12	
221	CooperateTaskType13	
222	CooperateTaskType14	
223	CooperateTaskType15	
224	CooperateTaskType20	
225	CooperateTaskType30	
226	CooperateTaskType40	
227	CooperateTaskType50	
228	StoryRemainFindTime	
229	CooperateTaskType60	
230	CooperateTaskType70	
231	CooperateTaskType80	
232	CooperateTaskType90	
233	CooperateTaskType100	
234	CooperateTaskProgress	
235	CooperateReceiveBtn	
236	CooperateassistBtn	
237	CooperategetBtn	
238	CooperateassitingText	
239	CooperateHaveTaskText	
240	CooperationApplyTitle	
241	CooperationremindTip	
242	CooperationrefuseBtn	
243	CooperationreceiveBtn	
244	CooperationApplyTip	
245	CooperationEndTitle	
246	CooperationEndTip1	
247	CooperationEndTip2	
248	CooperationMainPanelTitle	
249	Cooperationtext1	
250	Cooperationtext2	
251	Cooperationtext3	
252	Cooperationremind	
253	Cooperationintro	
254	CooperationinviteBtn1	
255	CooperationinviteBtn2	
256	CooperationdisinviteBtn	
257	CooperationMainPanelTip1	
258	CooperationMainPanelTip2	
259	CooperationMainPanelID	
260	CooperationRealtionshipTitle	
261	CooperationRealtionshipTip	
262	CooperationRealtionshiprelieveBtn	
263	CooperationGiveRewardDollar	
264	CooperationGiveRewardGold	
265	Floor	
266	BuildFloor	
267	BuildUpgrade	
268	BuildUpgrade_UBB	
269	CompanyLevel	
270	BuildEffect	
271	BuildLevelEffect	
272	BuildLevelup	
273	BuildConfirm	
274	BuildLevel	
275	BuildFloorAlert	
276	BuildTitle	
277	ActorExperciseExpedite	
278	BuildFloorFailLevel	
279	BuildFloorFailCity	
280	BuildActorRoomTalentNpc	
281	BuildActorRoomTrainerNpc	
282	TopFloor	
283	LincenceMax	
284	ArtistDicUITitle	
285	ArtistDicUInotHired	
286	ArtistDicUIStar	
287	ArtistDicUICountry	
288	ArtistDicUISex	
289	ArtistDicUIAge	
290	ArtistDicUIShow	
291	ArtistDicUIDefName	
292	ArtistDicUIHowHave	
293	ArtistDicUIPinglun	
294	ArtistDicUINoActor	
295	ArtistDicUINoPinglun	
296	ArtistDicUIPinglunTitle	
297	PlayerUpgradeGetAward	
298	PlayerSelfSignature	
299	PlayerSignature	
300	ItemHave	
301	PlayerInfoTab0	
302	PlayerInfoTab1	
303	PlayerInfoTab2	
304	PlayerInfoTab3	
305	PlayerInfoTab4	
306	PlayerInfoTabHome_Rank0	
307	PlayerInfoTabHome_Rank1	
308	PlayerInfoTabHome_Rank2	
