int	string	string	string	string
ID	备注	UI编号	UI元件名称	值
id	comment	name	mz	value
1	Activity - ActivityMain	9qou8rs7sga10-n5_sga1	title	
2	Activity - ActivityMain	9qou8rs7sga10-n11_ac07	title	
3	Activity - ActivityMain	9qou8rs7sga10-n23_ynh3	noActivity	
4	Activity - ActivitySeven	9qou8rs7sga12-n10_sga1	tip1	
5	Activity - ActivitySeven	9qou8rs7sga12-n11_sga1	tip2	
6	Activity - ActivitySeven	9qou8rs7sga12-n13_sga1	tip2Val	
7	Activity - ActivityTopItemBtn	9qou8rs7sga11-n3_sga1	title	
8	Activity - Dialog	9qou8rs7f9f11e-n9_hz3m	title	
9	Activity - LicenseReq	9qou8rs7ac07w-n8_ac07	tip1	
10	Activity - LicenseReq	9qou8rs7ac07w-n9_ac07	tip2	
11	Activity - LicenseReq	9qou8rs7ac07w-n10_ac07	tip3	
12	Activity - ApplyLicensePanel	9qou8rs7vuzmf-n21_hh76	msgTitle	
13	Activity - LicenseReq	9qou8rs7ac07w-n13_ac07	okBtn	
14	Activity - SecretaryButton	9qou8rs7rrsj7-n16_hh76	title	
15	Activity - SecretaryCommon	9qou8rs7rrsj8-n3_hh76	n3	
16	Activity - SecretaryGiftButton	9qou8rs7rrsja-n14_hh76	title	
17	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n4_hh76	title	
18	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n5_hh76	des	
19	Activity - SecretaryPanel	9qou8rs7rrsjc-n21_hh76	msgTitle	
20	Activity - SecretaryPanel	9qou8rs7rrsjc-n30_hh76	welfareBtn	
21	Activity - SecretaryPanel	9qou8rs7rrsjc-n13_hh76	tipmsg	
22	Activity - Dialog	9qou8rs7c3b71e-n9_hz3m	title	
23	Activity - SecretaryWelfareMsgItem	9qou8rs7rrsjd-n0_hh76	title	
24	Activity - SevenItem	9qou8rs7sga13-n2_sga1	dayTip	
25	Activity - SevenItem	9qou8rs7sga13-n3_sga1	okBtn	
26	Activity - SevenItem	9qou8rs7sga13-n6_sga1	waitTip	
27	Activity - SignItem	9qou8rs7pytu6-n6_pytu	day	
28	Activity - SignItem2	9qou8rs7l1hm13-n35_l1hm	day	
29	Activity - SignPanel	9qou8rs7pytu5-n1_tvvq	okBtn	
30	Activity - SignPanel	9qou8rs7pytu5-n3_lrcq	nextTip	
