int	string	string
编号，只能在后面增加，不能修改编号，	功能名称	未解锁点击提示文字，（文字表示提示内容，0表示无）
id	name	touch_txt
3		
4		
5		
6		
21		
22		
23		
24		
25		
26		
31		
32		
33		
41		
51		
52		
53		
54		
55		
61		
62		
63		
64		
65		
71		
72		
73		
104		
1001		
1002		
1003		
1004		
1005		
1006		
1007		
1008		
1009		
1010		
1011		
1012		
1013		
1014		
1015		
1016		
1017		
1018		
1019		
2001		
2002		
2003		
2004		
2005		
2006		
2007		
2008		
2009		
2010		
2011		
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
10001		
10002		
10003		
10004		
